,y1,y2,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55
X9,0.10103277807250972,0.17125041467990126,-0.028750945581846498,0.013530688480945676,0.05987606164426334,0.06711322577662009,0.1390531467534692,-0.07794323379066072,-0.4945494076649886,-0.056207539486816754,1.0,-0.06165383555437134,-0.009202357407937714,-0.022529047165537303,-0.04155122201144166,-0.024420594740985707,0.04064583141179835,0.09162577161497415,0.028818449519368395,-0.013415498409962597,-0.0008089888411485736,0.006911134497372378,0.025462531878041653,-0.002167256374911926,-0.01828519032287606,-0.018432411919303865,0.15071539986102853,-0.06456600553616164,,0.16600868771437122,0.02881844951936846,-0.11742208098816219,-0.028043872189104646,-0.02929176505055376,,0.018771976435387576,0.019785588059340213,0.2495923191333796,-0.04327165441114789,-0.07918292595544496,-0.027473158790892484,-0.020618416230327768,0.02509486775095286,-0.0393787883790726,0.033663196179169054,-0.05780775493354418,0.001710962272738845,-0.10172339966340636,-0.007854448574090091,-0.05422768135349726,-0.06150636607049638,0.06434816452068254,0.02850873926891911,-0.08151906229787532,0.022348456721043214,0.04624530419749432,0.07629718240905495
X10,0.012475627339288153,0.024935518111753853,-0.062063395712752434,0.1604965951925255,0.005061780504363036,-0.02370987890538583,-0.016245992785831113,-0.05680346630572179,-0.3604176943730939,-0.04096292801941068,-0.06165383555437133,1.0,-0.006706493604806382,-0.018968505259931847,-0.03028169764969786,-0.01779723990232344,-0.013433172303364533,-0.030281697649697865,-0.025258282673578426,-0.012566772620329712,-0.017238698524561953,0.04333000429798567,0.1766176971582649,-0.06248346318853375,0.061496012290019594,-0.013433172303364506,0.07882286837710148,-0.009951920939203175,,-0.06168132259380183,0.016698997515089995,0.03946193416958622,0.02212056246158707,-0.03727803563313235,,-0.06809848930147541,-0.03223066204943523,-0.042702064144299265,-0.04493207941483813,-0.018807752087503436,-0.02494913911508399,-0.015026288423731085,0.13059147403845137,0.11961404299485609,-0.05170239645582589,0.035219336365495756,-0.04862968522406325,0.05694571518051762,-0.04547530819110765,-0.015619859179071724,0.058251762288238335,-0.02814280772224077,0.07470256757820447,0.08263180380175211,-0.027029667354861064,-0.09492160664767213,-0.018061905915574862
X11,0.02220428660814423,0.0684208043228395,-0.01606041994604743,-0.013458813847584947,-0.0046848626344905935,-0.0068695642748135615,-0.08004679950377634,-0.00847839869579591,-0.053795395046283744,-0.006114064124653011,-0.009202357407937716,-0.006706493604806382,1.0,-0.006541839438080052,-0.004519799979773815,-0.002656388868322036,-0.002005014798291888,-0.004519799979773814,-0.003770012726426509,-0.005935648177738503,-0.006373644928643247,-0.013705338096864216,-0.00390431428883548,0.04570019979549053,-0.00847839869579591,-0.0020050147982919055,-0.004403110176259507,-0.016066105781274365,,0.03519055043849891,-0.003770012726426507,-0.022254518069063776,-0.0054677247021183515,-0.005564062710411503,,-0.012337988437244238,-0.011627940006057491,-0.006373644928643245,-0.006706493604806382,-0.008613248174344909,-0.010894352646292241,-0.002242800879241097,-0.012605850190420865,-0.004283490070887391,-0.012121713028794326,-0.006288130094163116,-0.007258392605155677,-0.01851011895419171,-0.006787575102957468,-0.01287116281978819,-0.011683327287213038,-0.007484800018211728,0.14747549541880473,-0.010250729395694323,-0.004034406900731124,-0.0722246254455105,-0.018071705328581635
X12,0.016409518111835664,-0.10764384110214484,0.034432802588413566,-0.2448839440393707,-0.027431380304427506,-0.027747156597892276,-0.13452958113444022,-0.055408858636964105,0.06390168690694409,-0.012885935507920684,-0.022529047165537303,-0.018968505259931843,-0.006541839438080052,1.0,-0.029538237954157803,-0.01736029179220427,-0.01310336839651865,-0.02953823795415779,-0.024638155117864845,-0.038791227282357885,-0.04165366639675855,-0.08956846315301273,-0.02551585579617016,-0.143146845470149,-0.055408858636964126,-0.013103368396518666,-0.028775635361465,-0.10499678253189094,,-0.0641771275975962,-0.024638155117864817,0.04746542704571532,0.05442627409394023,0.08189022089920793,,0.08325461892814072,-0.04484138293502214,-0.015603843759636193,0.08047319990353727,0.003402479306773468,0.02709646154672591,0.05684200050862175,-0.08238298247829792,-0.02799388237407718,-0.0037435808894873634,-0.014718163825043477,0.045121816456988276,-0.005264558283894443,0.004819473038308202,0.14705283394438395,-0.06083491085283416,-0.04891539558533433,-0.04435882327096034,-0.015393440987827741,0.0138260992488119,0.02196828638623852,-0.10639427856085715
X13,-0.006076277286558919,-0.10725727441319849,-0.009344273400364042,-0.11498112308976748,-0.020237196661711736,-0.004016103840930116,-0.12019858418261085,-0.03828234558751876,0.06767236227517105,0.010735943773347363,-0.04155122201144165,-0.03028169764969786,-0.004519799979773816,-0.029538237954157803,0.9999999999999998,-0.011994340006959963,-0.0090532035789211,-0.020408163265306214,-0.017022663741204886,-0.02680111457117317,-0.028778792619347415,-0.061883441466146764,-0.017629072924065597,-0.09890109890109867,-0.03828234558751881,-0.009053203578921117,-0.019881276108314166,-0.07254296900066308,,-0.04223796320418931,0.1653630192002761,0.06648428752941599,-0.02468830897604542,-0.025123302075452054,,-0.013505327187689055,-0.030443151981863755,-0.028778792619347394,0.004929578687160055,0.017472870894540273,0.11323223883414653,0.0911418692153575,-0.036145607735333096,-0.019341157817422513,0.030787273453537004,-0.028392669182141377,1.7283392746904043e-17,-0.01802670795361596,-0.03064780333124751,0.10559268904043398,-0.00879224935566661,0.02997001039776988,-0.030647803331247538,0.026796529892469424,0.09563650695950081,-0.034593782311415376,-0.08159881288522275
X14,-0.01760074598400051,-0.00042952007262781383,0.08073182638550862,-0.2587425322056852,-0.012432372134926841,-0.018229985835767824,-0.0184089305923345,0.025473736584589447,0.021931188439995235,-0.016225090549054494,-0.024420594740985707,-0.01779723990232344,-0.002656388868322036,-0.01736029179220427,-0.011994340006959965,1.0,-0.005320772892012532,-0.011994340006959965,-0.010004605220071856,-0.015751622355874864,-0.016913948559645977,-0.036370300849542854,-0.010361005638278019,-0.05812641695680596,-0.022499401992791632,-0.0053207728920125295,-0.011684676485353112,-0.042635146730107126,,-0.05136126243793197,-0.010004605220071863,0.06838643628960234,0.056967356003380064,-0.01476553393233625,,-0.03274172064703929,-0.030857442063213905,0.04504190697019251,0.10045684582740023,0.11911328042238488,0.01005250666401993,-0.005951793538189436,-0.03345255408144773,-0.01136723672653141,-0.032167783571128504,-0.016687015065911158,-0.019261832204928334,0.0609539507372822,0.04046943729595856,0.00020617679772562457,-0.03100442509016507,-0.019862656910544188,-0.018012408507449732,-0.027202693535444977,0.08488516183471834,-0.028490277608933617,-0.04795747138957384
X15,0.010781915954329507,0.028867296971677874,0.04424265169083403,-0.17124789037434893,-0.009383825691208316,0.06528492363129301,0.046652293892124476,0.04638453347903074,-0.035240789674374676,-0.012246530258587305,0.04064583141179835,-0.013433172303364535,-0.002005014798291888,-0.01310336839651865,-0.009053203578921098,-0.005320772892012532,0.9999999999999998,-0.0090532035789211,-0.007551372374927683,-0.011889161371386216,-0.012766473148586688,-0.027451926294106525,-0.007820379718371375,-0.04387321734400216,-0.01698231553603854,-0.004016064257028104,-0.008819472760848122,-0.03218056706253592,,0.03862127684429688,-0.007551372374927682,-0.044576017419270336,0.08346107730573098,-0.011144872044926136,,-0.024713111548431033,-0.023290877594009676,0.15090625952560233,0.06466666666968493,-0.017252420360871292,-0.02182149493535273,-0.004492352103547956,-0.025249641260667678,-0.008579872519485205,0.023141789017999525,-0.012595186098489395,-0.014538631400564501,-0.037075949358876405,0.21814725027771723,-0.025781065052974828,-0.02340181886004546,-0.014992127663971158,-0.013595579337421448,-0.020532311267521107,-0.00808095649275847,0.02776081960860496,-0.03619780257756237
X16,0.024305109146235186,0.11330512800278668,0.008941212171590742,-0.33182435381068676,-0.01767657473714973,-0.031018007413887157,-0.0008506712939932284,0.018855483647583927,-0.03040352508014938,-0.027606712560035683,0.09162577161497415,-0.030281697649697868,-0.004519799979773814,-0.029538237954157793,-0.020408163265306214,-0.011994340006959963,-0.0090532035789211,1.0,-0.017022663741204886,-0.02680111457117321,-0.028778792619347397,-0.06188344146614685,-0.017629072924065556,-0.09890109890109867,-0.038282345587518765,-0.00905320357892112,-0.019881276108314125,-0.0725429690006631,,0.08706192415557334,-0.01702266374120488,-0.10048538434811279,-0.02468830897604542,0.05862103817605538,,-0.03460740091845294,-0.05250340704118546,0.11880475927474211,-0.030281697649697858,0.04565492072444361,0.1364355664640945,-0.010126874357261928,-0.03614560773533307,-0.019341157817422513,-0.03335287957466501,0.008966106057518238,2.7289567495111644e-17,-0.03441462427508493,0.03900629514886045,-0.05811690637109169,-0.03077287274483307,-0.03379596917195328,0.03900629514886051,-0.021924433548383877,0.038710014721702685,-0.01515907314769887,-0.0815988128852227
X17,0.029323659500941242,0.005202140676729446,0.03317196247726144,-0.23156038024333012,-0.010972122061773493,-0.025872446396311227,-0.005702150462592054,-0.03193170731188569,0.031125284596101824,-0.02302704946056959,0.028818449519368395,-0.025258282673578426,-0.003770012726426509,-0.024638155117864845,-0.01702266374120489,-0.010004605220071856,-0.007551372374927684,-0.01702266374120489,1.0,-0.022355091700494822,-0.024004693772214016,-0.05161762974611098,-0.014704595242321872,-0.08249444736122366,-0.031931707311885695,-0.0075513723749276816,-0.016583181618956198,-0.06050885383625971,,0.06405971182406449,-0.014198782961460427,-0.029554425464191465,-0.020592778319871354,-0.02095561064165772,,0.054111922447566775,-0.04379364432315564,-0.024004693772214,0.05865627770375843,0.03472311491300869,0.014266765874448856,-0.008446932469721913,-0.047476691429667484,-0.01613266326868639,0.005299045302137369,-0.023682624149940303,0.050768469630064414,-0.030658362186635035,0.015935785106621653,-0.024091655990257838,-0.044002246267239434,0.047793104451983794,-0.025563655275205835,0.019448505549437764,0.05263828187914448,-0.017275969702287425,-0.0285372087049523
X18,-0.009153184356329003,5.693456366484495e-05,-0.04337178748446596,0.13377088283710023,-0.011162762997212774,-0.016893829273318027,0.016243273097628026,-0.0061353388145856565,-0.0033083564937898503,0.022984969520979167,-0.013415498409962598,-0.01256677262032971,-0.005935648177738503,-0.038791227282357885,-0.02680111457117317,-0.015751622355874864,-0.011889161371386216,-0.026801114571173207,-0.022355091700494815,0.9999999999999999,-0.03779388219234713,-0.08126871503484176,-0.023151461357851025,-0.12988232446030076,-0.050274466977072496,-0.011889161371386226,-0.02610917758120272,-0.0952673887524718,,0.008900820018166326,0.024609386661889242,-0.014704235815742393,0.00046035344770865616,-0.032993292369188985,,-0.02425649693479117,0.05034090680413776,-0.03779388219234712,-0.03976757915783971,-0.007532665654046133,-0.04667574581764726,-0.013299164474945769,-0.05870160800455349,0.016103182223060324,0.010702463536310896,0.10701197253549892,0.00759532616034071,0.0168374140831395,-0.04024836913334189,-0.060514032094852135,0.049581866379824036,-0.019753016306490498,-0.013344379070947564,-0.004328263796594563,0.06402886636834268,-0.007897030293457149,0.07220873490293887
